epoch,accuracy,categorical_accuracy,cross_entropy,learning_rate,loss,val_accuracy,val_categorical_accuracy,val_cross_entropy,val_loss
27,1.0,1.0,0.03771275281906128,9.999999747378752e-05,0.03771275281906128,1.0,1.0,0.018855856731534004,0.018855856731534004
28,1.0,1.0,0.027116606011986732,9.999999747378752e-05,0.027116606011986732,1.0,1.0,0.01615852862596512,0.01615852862596512
29,1.0,1.0,0.04700103774666786,9.999999747378752e-05,0.04700103774666786,1.0,1.0,0.014015008695423603,0.014015008695423603
30,1.0,1.0,0.026124827563762665,9.999999747378752e-05,0.026124827563762665,1.0,1.0,0.012261283583939075,0.012261283583939075
31,1.0,1.0,0.031744759529829025,9.999999747378752e-05,0.031744759529829025,1.0,1.0,0.010792701505124569,0.010792701505124569
32,1.0,1.0,0.03952040895819664,9.999999747378752e-05,0.03952040523290634,1.0,1.0,0.009539575316011906,0.009539575316011906
33,1.0,1.0,0.02684205025434494,9.999999747378752e-05,0.02684204839169979,1.0,1.0,0.008492564782500267,0.008492564782500267
34,1.0,1.0,0.017124248668551445,9.999999747378752e-05,0.017124248668551445,1.0,1.0,0.007610297296196222,0.007610297296196222
35,1.0,1.0,0.020453767850995064,9.999999747378752e-05,0.020453767850995064,1.0,1.0,0.0068706427700817585,0.0068706427700817585
36,1.0,1.0,0.02200888656079769,9.999999747378752e-05,0.02200888656079769,1.0,1.0,0.006221333518624306,0.006221333518624306
37,1.0,1.0,0.020086802542209625,9.999999747378752e-05,0.020086804404854774,1.0,1.0,0.005665427539497614,0.005665427539497614
38,1.0,1.0,0.01429805252701044,9.999999747378752e-05,0.014298051595687866,1.0,1.0,0.005178144667297602,0.005178144667297602
39,1.0,1.0,0.009663085453212261,9.999999747378752e-05,0.009663086384534836,1.0,1.0,0.004753735847771168,0.004753735847771168
40,1.0,1.0,0.013254585675895214,9.999999747378752e-05,0.013254586607217789,1.0,1.0,0.004376931115984917,0.004376931115984917
41,1.0,1.0,0.007660333067178726,9.999999747378752e-05,0.007660333067178726,1.0,1.0,0.004049844108521938,0.004049844108521938
42,1.0,1.0,0.011431802064180374,9.999999747378752e-05,0.011431802064180374,1.0,1.0,0.00375534500926733,0.00375534500926733
43,1.0,1.0,0.013662859797477722,9.999999747378752e-05,0.013662859797477722,1.0,1.0,0.0034819405991584063,0.0034819405991584063
44,1.0,1.0,0.012933168560266495,9.999999747378752e-05,0.01293316762894392,1.0,1.0,0.0032347580417990685,0.0032347580417990685
45,1.0,1.0,0.0067336224019527435,9.999999747378752e-05,0.006733622867614031,1.0,1.0,0.0030144117772579193,0.0030144117772579193
46,1.0,1.0,0.004993597511202097,9.999999747378752e-05,0.004993597511202097,1.0,1.0,0.002821552800014615,0.002821552800014615
47,1.0,1.0,0.008582661859691143,9.999999747378752e-05,0.008582661859691143,1.0,1.0,0.002647559391334653,0.002647559391334653
